,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2,tm
0,2025-09-01T08:00:00,130,1383,52,50,6,7,1,5,3,4,yoghurt,tennis,partner,office,,Yes,,Yes,2025-09-01 08:00:00
1,2025-09-01T10:00:00,67,755,32,32,6,1,7,1,5,3,yoghurt,bike,acquaintances,home,Yes,,Yes,,2025-09-01 10:00:00
2,2025-09-01T12:00:00,139,1633,49,61,7,4,5,3,3,4,milk,walk,acquaintances,office,,,,,2025-09-01 12:00:00
3,2025-09-01T14:00:00,112,1780,58,48,1,6,2,6,1,7,fruit,tennis,relatives,office,,Yes,,Yes,2025-09-01 14:00:00
4,2025-09-01T16:00:00,104,717,61,34,4,7,3,3,3,5,oatmeal,yoga,friends,store,,,,,2025-09-01 16:00:00
5,2025-09-01T18:00:00,72,1284,35,67,6,5,4,1,3,2,oatmeal,swim,colleagues,home,Yes,,Yes,,2025-09-01 18:00:00
6,2025-09-01T20:00:00,132,505,56,52,4,3,7,4,6,5,yoghurt,tennis,strangers,street,,Yes,,Yes,2025-09-01 20:00:00
7,2025-09-01T22:00:00,89,433,49,37,6,1,6,3,3,7,milk,yoga,friends,home,,,,,2025-09-01 22:00:00
8,2025-09-02T00:00:00,132,680,35,39,7,6,4,2,6,6,bread,walk,strangers,home,Yes,,Yes,,2025-09-02 00:00:00
9,2025-09-02T02:00:00,136,1758,40,62,1,2,7,3,5,6,milk,walk,strangers,street,Yes,,Yes,,2025-09-02 02:00:00
10,2025-09-02T04:00:00,69,1100,34,38,3,4,5,2,5,2,fruit,golf,friends,store,Yes,,Yes,,2025-09-02 04:00:00
11,2025-09-02T06:00:00,149,661,40,51,3,2,2,2,1,3,yoghurt,bike,relatives,park,Yes,,Yes,,2025-09-02 06:00:00
12,2025-09-02T08:00:00,77,1345,39,41,6,6,1,1,6,3,cracker,golf,partner,cafe,Yes,,Yes,,2025-09-02 08:00:00
13,2025-09-02T10:00:00,84,631,62,40,1,3,4,5,5,3,fruit,yoga,colleagues,store,,,,,2025-09-02 10:00:00
14,2025-09-02T12:00:00,111,1639,37,54,5,4,6,3,5,5,bread,golf,partner,cafe,Yes,,Yes,,2025-09-02 12:00:00
