,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2,tm
0,2025-09-01T08:00:00,75,758,65,54,5,6,2,3,4,3,bread,bike,colleagues,cafe,,Yes,,Yes,2025-09-01 08:00:00
1,2025-09-01T10:00:00,146,1286,40,58,5,3,5,2,5,3,milk,golf,partner,home,Yes,,Yes,,2025-09-01 10:00:00
2,2025-09-01T12:00:00,108,1509,43,50,1,3,5,1,2,3,fruit,tennis,colleagues,street,Yes,,Yes,,2025-09-01 12:00:00
3,2025-09-01T14:00:00,103,1702,50,45,6,4,7,2,6,4,yoghurt,yoga,colleagues,street,,,,,2025-09-01 14:00:00
4,2025-09-01T16:00:00,145,1026,55,49,6,5,2,1,5,5,milk,walk,partner,store,,Yes,,Yes,2025-09-01 16:00:00
5,2025-09-01T18:00:00,77,807,38,45,4,1,2,3,5,6,yoghurt,bike,colleagues,cafe,Yes,,Yes,,2025-09-01 18:00:00
6,2025-09-01T20:00:00,125,1433,68,42,6,4,2,2,1,1,milk,bike,acquaintances,store,,,,,2025-09-01 20:00:00
7,2025-09-01T22:00:00,102,1495,44,49,2,7,5,3,6,6,yoghurt,yoga,friends,home,Yes,,Yes,,2025-09-01 22:00:00
8,2025-09-02T00:00:00,130,437,45,61,2,2,3,1,2,3,milk,tennis,relatives,cafe,Yes,,Yes,,2025-09-02 00:00:00
9,2025-09-02T02:00:00,130,1500,37,36,6,3,3,3,5,4,bread,walk,relatives,home,Yes,,Yes,,2025-09-02 02:00:00
10,2025-09-02T04:00:00,125,985,42,62,4,6,7,1,6,5,oatmeal,swim,strangers,office,Yes,,Yes,,2025-09-02 04:00:00
11,2025-09-02T06:00:00,149,685,57,53,6,1,3,2,3,1,oatmeal,tennis,relatives,office,,Yes,,Yes,2025-09-02 06:00:00
12,2025-09-02T08:00:00,92,1365,37,56,3,4,6,1,6,3,cracker,yoga,relatives,office,Yes,,Yes,,2025-09-02 08:00:00
13,2025-09-02T10:00:00,85,423,45,37,4,5,4,2,5,2,milk,bike,strangers,office,Yes,,Yes,,2025-09-02 10:00:00
14,2025-09-02T12:00:00,146,1249,35,39,2,2,5,2,1,5,milk,walk,strangers,cafe,Yes,,Yes,,2025-09-02 12:00:00
