,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0.0,2025-09-01T08:00:00,125.0,1792.0,55.0,56.0,3.0,5.0,5.0,4.0,1.0,3.0,γιαούρτι,περπάτημα,συνάδελφοι,σπίτι,,,,
1,1.0,2025-09-01T10:00:00,118.0,665.0,47.0,42.0,5.0,1.0,6.0,7.0,5.0,5.0,κράκερ,γιόγκα,φίλοι,καφετέρια,,,,
2,2.0,2025-09-01T12:00:00,68.0,1137.0,54.0,37.0,2.0,6.0,2.0,3.0,6.0,5.0,γιαούρτι,τέννις,συνάδελφοι,γραφείο,,,,
3,3.0,2025-09-01T14:00:00,89.0,1428.0,53.0,59.0,6.0,3.0,6.0,4.0,3.0,4.0,βρώμη,κολύμπι,συγγενείς,γραφείο,,,,
4,4.0,2025-09-01T16:00:00,63.0,938.0,61.0,53.0,7.0,5.0,6.0,2.0,1.0,2.0,γιαούρτι,τέννις,φίλοι,γραφείο,,Yes,,Yes
5,5.0,2025-09-01T18:00:00,144.0,939.0,64.0,63.0,1.0,6.0,6.0,3.0,4.0,2.0,κράκερ,ποδήλατο,φίλοι,καφετέρια,,Yes,,Yes
6,6.0,2025-09-01T20:00:00,131.0,940.0,66.0,51.0,7.0,5.0,2.0,3.0,4.0,7.0,κράκερ,περπάτημα,σύντροφος,γραφείο,,Yes,,Yes
7,7.0,2025-09-01T22:00:00,127.0,909.0,54.0,40.0,6.0,5.0,1.0,6.0,4.0,1.0,γιαούρτι,κολύμπι,συγγενείς,γραφείο,,,,
8,8.0,2025-09-02T00:00:00,113.0,1299.0,53.0,61.0,2.0,5.0,5.0,6.0,4.0,3.0,κράκερ,τέννις,συγγενείς,πάρκο,,,,
9,9.0,2025-09-02T02:00:00,73.0,934.0,35.0,48.0,4.0,6.0,5.0,4.0,6.0,2.0,γιαούρτι,ποδήλατο,συγγενείς,σπίτι,Yes,,Yes,
10,10.0,2025-09-02T04:00:00,119.0,935.0,39.0,45.0,4.0,5.0,3.0,5.0,5.0,6.0,γάλα,γιόγκα,συγγενείς,σπίτι,Yes,,Yes,
11,11.0,2025-09-02T06:00:00,75.0,936.0,39.0,37.0,4.0,6.0,2.0,5.0,5.0,2.0,γάλα,γιόγκα,συγγενείς,σπίτι,Yes,,Yes,
12,12.0,2025-09-02T08:00:00,134.0,1535.0,53.0,45.0,5.0,5.0,1.0,3.0,6.0,1.0,γάλα,ποδήλατο,συνάδελφοι,σπίτι,,,,
13,13.0,2025-09-02T10:00:00,93.0,1607.0,53.0,63.0,5.0,6.0,4.0,3.0,4.0,3.0,φρούτο,γιόγκα,συνάδελφοι,σπίτι,,,,
14,14.0,2025-09-02T12:00:00,69.0,758.0,49.0,49.0,4.0,1.0,4.0,2.0,4.0,6.0,κράκερ,κολύμπι,συνάδελφοι,γραφείο,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
