,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,131,1573,32,46,6,3,6,2,1,2,φρούτο,γιόγκα,συγγενείς,γραφείο,Yes,,Yes,
1,1,2025-09-01T10:00:00,87,971,32,37,1,7,3,7,2,4,γάλα,κολύμπι,σύντροφος,σπίτι,Yes,,Yes,
2,2,2025-09-01T12:00:00,65,767,37,33,6,5,1,6,6,4,φρούτο,κολύμπι,συνάδελφοι,γραφείο,Yes,,Yes,
3,3,2025-09-01T14:00:00,77,1469,49,37,3,6,5,4,4,3,γιαούρτι,ποδήλατο,συγγενείς,πάρκο,,,,
4,4,2025-09-01T16:00:00,62,1632,46,39,5,5,5,6,4,5,γάλα,κολύμπι,σύντροφος,γραφείο,,,,
5,5,2025-09-01T18:00:00,103,547,55,38,5,3,6,3,5,5,γιαούρτι,περπάτημα,φίλοι,καφετέρια,,,,
6,6,2025-09-01T20:00:00,127,848,45,50,3,5,2,3,2,1,κράκερ,ποδήλατο,σύντροφος,πάρκο,,,,
7,7,2025-09-01T22:00:00,104,1369,45,69,6,3,2,1,6,1,βρώμη,γιόγκα,φίλοι,γραφείο,,,,
8,8,2025-09-02T00:00:00,147,1062,52,52,6,2,4,5,1,3,βρώμη,τέννις,σύντροφος,γραφείο,,,,
9,9,2025-09-02T02:00:00,79,1211,45,43,4,1,4,4,2,3,γάλα,κολύμπι,συνάδελφοι,γραφείο,,,,
10,10,2025-09-02T04:00:00,130,1136,65,59,1,7,2,2,2,6,γάλα,γιόγκα,σύντροφος,γραφείο,,Yes,,Yes
11,11,2025-09-02T06:00:00,136,660,63,40,5,2,3,4,7,1,γιαούρτι,τέννις,συγγενείς,πάρκο,,Yes,,Yes
12,12,2025-09-02T08:00:00,97,1294,62,63,4,4,6,5,2,2,κράκερ,κολύμπι,φίλοι,γραφείο,,Yes,,Yes
13,13,2025-09-02T10:00:00,146,909,55,46,2,7,6,2,6,2,κράκερ,γιόγκα,συνάδελφοι,σπίτι,,,,
14,14,2025-09-02T12:00:00,119,489,45,39,2,6,2,5,2,6,βρώμη,κολύμπι,σύντροφος,πάρκο,,,,
