,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,100,936,62,60,2,4,5,3,6,4,γιαούρτι,κολύμπι,φίλοι,σπίτι,,,,
1,1,2025-09-01T10:00:00,64,1067,40,55,6,6,2,5,3,1,γιαούρτι,γιόγκα,συγγενείς,καφετέρια,,,,
2,2,2025-09-01T12:00:00,131,943,59,64,5,6,6,2,5,2,βρώμη,τέννις,συνάδελφοι,καφετέρια,,,,
3,3,2025-09-01T14:00:00,131,532,63,50,1,2,7,7,7,6,γάλα,τέννις,συγγενείς,γραφείο,Yes,,Yes,
4,4,2025-09-01T16:00:00,77,1553,53,47,3,2,2,5,3,3,γιαούρτι,τέννις,φίλοι,πάρκο,,Yes,,Yes
5,5,2025-09-01T18:00:00,84,500,62,41,7,5,5,6,3,7,βρώμη,ποδήλατο,σύντροφος,σπίτι,Yes,,Yes,
6,6,2025-09-01T20:00:00,136,1259,44,57,1,1,5,5,6,5,βρώμη,τέννις,συγγενείς,σπίτι,,,,
7,7,2025-09-01T22:00:00,70,1211,31,67,3,5,4,5,5,7,γιαούρτι,γιόγκα,συγγενείς,σπίτι,,,,
8,8,2025-09-02T00:00:00,125,605,31,37,5,4,5,6,6,6,κράκερ,κολύμπι,συνάδελφοι,σπίτι,Yes,,Yes,
9,9,2025-09-02T02:00:00,68,1334,35,53,2,2,2,7,4,2,κράκερ,κολύμπι,συνάδελφοι,σπίτι,,,,
10,10,2025-09-02T04:00:00,82,1200,35,62,2,1,6,2,2,5,γάλα,περπάτημα,σύντροφος,γραφείο,,,,
11,11,2025-09-02T06:00:00,98,1146,70,45,4,7,6,6,6,2,γάλα,κολύμπι,συνάδελφοι,γραφείο,,,,
12,12,2025-09-02T08:00:00,86,1377,33,32,4,7,5,4,5,1,κράκερ,τέννις,συγγενείς,καφετέρια,,,,
13,13,2025-09-02T10:00:00,139,1751,47,43,3,3,5,6,5,1,γάλα,ποδήλατο,συγγενείς,σπίτι,,Yes,,Yes
14,14,2025-09-02T12:00:00,125,1620,32,35,3,4,6,7,2,1,βρώμη,κολύμπι,συγγενείς,σπίτι,,Yes,,Yes
