,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,78,739,60,30,4,7,3,6,1,3,milk,tennis,relatives,home,Yes,Yes
1,2025-09-01T10:00:00,133,828,48,59,3,5,7,3,3,3,fruit,bike,neighbours,store,,
2,2025-09-01T12:00:00,93,753,69,49,6,4,3,3,3,1,fruit,bike,relatives,home,Yes,Yes
3,2025-09-01T14:00:00,136,977,40,60,4,2,5,6,2,7,fruit,bike,relatives,home,Yes,Yes
4,2025-09-01T16:00:00,132,663,31,32,5,4,4,2,2,4,oatmeal,bike,friends,park,,
5,2025-09-01T18:00:00,112,1608,53,67,6,6,2,6,4,1,oatmeal,tennis,relatives,home,Yes,Yes
6,2025-09-01T20:00:00,110,728,50,59,5,4,4,6,4,6,yoghurt,bike,relatives,home,Yes,Yes
7,2025-09-01T22:00:00,64,1163,38,65,3,1,6,1,5,5,yoghurt,tennis,relatives,home,Yes,Yes
8,2025-09-02T00:00:00,140,491,33,32,6,3,4,3,6,7,fruit,bike,partner,home,Yes,
9,2025-09-02T02:00:00,133,1448,54,51,7,1,4,2,2,3,milk,bike,relatives,home,Yes,Yes
10,2025-09-02T04:00:00,93,553,40,64,2,4,4,3,2,2,yoghurt,golf,relatives,home,Yes,Yes
11,2025-09-02T06:00:00,66,490,36,32,2,7,7,5,3,1,bread,golf,relatives,home,Yes,Yes
12,2025-09-02T08:00:00,99,1145,69,57,3,6,2,6,6,2,oatmeal,golf,relatives,home,Yes,Yes
13,2025-09-02T10:00:00,121,1670,69,52,4,1,4,4,6,6,fruit,yoga,partner,store,,
14,2025-09-02T12:00:00,134,1269,36,53,4,6,6,2,2,6,fruit,walk,relatives,cafe,,
