,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,92,1508,35,68,7,6,4,5,4,1,cracker,bike,relatives,office,Yes,Yes
1,2025-09-01T10:00:00,135,410,52,66,5,7,4,4,1,7,oatmeal,swim,relatives,street,,
2,2025-09-01T12:00:00,92,937,58,59,6,6,5,7,4,3,fruit,golf,colleagues,store,,
3,2025-09-01T14:00:00,65,826,46,51,3,5,6,4,7,2,oatmeal,tennis,partner,office,Yes,Yes
4,2025-09-01T16:00:00,103,465,34,45,1,2,4,6,6,5,oatmeal,swim,friends,street,,
5,2025-09-01T18:00:00,126,1444,65,57,5,2,1,4,2,2,cracker,walk,partner,office,Yes,Yes
6,2025-09-01T20:00:00,121,1614,61,31,5,6,7,3,5,1,milk,walk,relatives,office,Yes,Yes
7,2025-09-01T22:00:00,66,1080,63,32,3,2,5,6,3,1,yoghurt,tennis,strangers,office,Yes,Yes
8,2025-09-02T00:00:00,105,1564,36,51,2,6,2,2,6,5,bread,golf,friends,office,Yes,Yes
9,2025-09-02T02:00:00,78,1157,70,43,6,2,5,2,5,3,bread,bike,strangers,office,Yes,Yes
10,2025-09-02T04:00:00,63,964,50,70,3,4,1,3,3,6,fruit,bike,strangers,park,,
11,2025-09-02T06:00:00,148,1197,37,58,5,2,7,4,3,6,fruit,bike,friends,office,Yes,Yes
12,2025-09-02T08:00:00,123,1538,42,32,6,5,3,4,2,4,bread,tennis,relatives,office,Yes,Yes
13,2025-09-02T10:00:00,92,776,33,54,5,5,5,2,5,3,cracker,bike,friends,office,Yes,Yes
14,2025-09-02T12:00:00,130,1119,62,31,2,3,3,1,2,2,bread,swim,acquaintances,office,Yes,Yes
