,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,137,1014,58,58,6,7,5,6,5,1,bread,walk,strangers,office,Yes,Yes
1,2025-09-01T10:00:00,106,1735,50,42,3,5,2,2,4,6,bread,swim,neighbours,office,Yes,Yes
2,2025-09-01T12:00:00,70,988,46,59,2,4,2,3,7,2,yoghurt,yoga,partner,office,Yes,Yes
3,2025-09-01T14:00:00,71,777,58,43,5,6,5,5,5,1,milk,walk,partner,home,,
4,2025-09-01T16:00:00,88,1793,54,45,6,5,2,7,6,4,oatmeal,bike,relatives,office,Yes,Yes
5,2025-09-01T18:00:00,139,1622,61,34,5,4,2,7,5,5,cracker,walk,colleagues,cafe,,
6,2025-09-01T20:00:00,144,400,47,53,5,5,2,3,4,6,bread,bike,relatives,park,,
7,2025-09-01T22:00:00,92,1775,49,37,5,3,6,3,1,1,fruit,golf,strangers,office,Yes,Yes
8,2025-09-02T00:00:00,100,1604,55,51,6,4,7,5,5,3,bread,walk,partner,office,Yes,Yes
9,2025-09-02T02:00:00,101,1696,39,46,3,4,2,3,4,6,fruit,swim,relatives,cafe,,
10,2025-09-02T04:00:00,143,1193,67,59,2,4,1,3,3,3,oatmeal,yoga,partner,office,Yes,Yes
11,2025-09-02T06:00:00,100,1431,32,39,7,6,2,2,7,1,oatmeal,bike,partner,store,,
12,2025-09-02T08:00:00,88,1402,64,59,5,7,5,2,2,1,fruit,bike,friends,office,Yes,Yes
13,2025-09-02T10:00:00,105,867,35,34,5,6,1,6,7,2,oatmeal,swim,strangers,office,Yes,Yes
14,2025-09-02T12:00:00,60,429,36,65,6,5,2,6,5,5,cracker,tennis,colleagues,office,Yes,Yes
15,2025-09-02T14:00:00,106,1366,70,35,2,6,6,4,3,2,milk,tennis,neighbours,cafe,,
16,2025-09-02T16:00:00,71,1737,56,49,5,5,6,6,6,3,yoghurt,tennis,partner,street,,
17,2025-09-02T18:00:00,134,548,42,35,4,3,1,4,6,2,oatmeal,bike,strangers,office,Yes,Yes
