,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T10:00:00,67,1106,66,30,2,2,1,3,2,7,oatmeal,bike,relatives,park,,
1,2025-09-01T11:00:00,95,1749,45,69,6,3,7,3,3,2,milk,walk,partner,office,,
2,2025-09-01T12:00:00,137,743,50,48,3,3,4,3,4,2,oatmeal,yoga,partner,cafe,,
3,2025-09-01T13:00:00,115,1384,31,57,7,2,4,3,5,1,oatmeal,swim,partner,office,,
4,2025-09-01T14:00:00,62,1063,60,51,4,4,7,3,6,7,oatmeal,bike,colleagues,office,,
5,2025-09-01T15:00:00,126,413,55,50,6,2,6,4,2,2,oatmeal,swim,colleagues,home,Yes,Yes
6,2025-09-01T16:00:00,108,968,61,62,1,4,2,4,4,3,fruit,swim,relatives,office,Yes,Yes
7,2025-09-01T17:00:00,138,1488,35,51,4,3,6,5,6,1,cracker,swim,partner,cafe,Yes,Yes
8,2025-09-01T18:00:00,133,1058,61,45,4,2,7,6,6,6,fruit,swim,relatives,cafe,Yes,Yes
9,2025-09-01T19:00:00,77,1036,38,45,4,5,5,4,5,7,milk,walk,colleagues,park,Yes,Yes
10,2025-09-01T20:00:00,72,601,45,49,5,6,7,4,3,6,oatmeal,tennis,partner,office,Yes,Yes
11,2025-09-01T21:00:00,64,945,52,59,1,2,6,7,5,2,oatmeal,tennis,friends,home,,
12,2025-09-01T22:00:00,108,1340,69,65,4,2,6,3,3,3,cracker,walk,colleagues,park,,
13,2025-09-01T23:00:00,100,1752,68,58,3,5,3,3,4,5,cracker,yoga,relatives,cafe,,
14,2025-09-02T00:00:00,111,1366,51,37,5,3,3,2,2,7,cracker,tennis,colleagues,office,,
