,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T10:00:00,69,1442,56,61,3,4,5,4,4,4,yoghurt,walk,relatives,park,Yes,Yes
1,2025-09-01T11:00:00,103,674,39,43,6,4,2,4,3,7,fruit,yoga,colleagues,office,Yes,Yes
2,2025-09-01T12:00:00,127,513,64,54,7,2,5,5,3,7,milk,yoga,relatives,home,Yes,Yes
3,2025-09-01T13:00:00,150,1068,39,40,1,5,3,2,5,3,oatmeal,walk,partner,cafe,,
4,2025-09-01T14:00:00,121,552,33,31,1,6,4,3,5,3,cracker,yoga,relatives,home,,
5,2025-09-01T15:00:00,90,1689,47,60,2,7,6,2,6,4,fruit,swim,friends,home,,
6,2025-09-01T16:00:00,144,464,45,65,6,4,4,2,2,3,milk,walk,colleagues,cafe,,
7,2025-09-01T17:00:00,95,417,50,65,1,6,5,2,6,3,oatmeal,tennis,friends,cafe,,
8,2025-09-01T18:00:00,122,908,51,65,2,5,5,6,4,1,cracker,swim,partner,home,Yes,Yes
9,2025-09-01T19:00:00,127,784,30,30,6,3,4,6,4,2,cracker,yoga,partner,office,Yes,Yes
10,2025-09-01T20:00:00,76,1391,45,30,3,3,6,6,6,2,yoghurt,swim,friends,cafe,Yes,Yes
11,2025-09-01T21:00:00,128,1756,42,52,3,2,2,2,5,3,oatmeal,swim,partner,office,,
12,2025-09-01T22:00:00,143,905,58,37,3,6,5,2,7,7,fruit,swim,colleagues,office,,
13,2025-09-01T23:00:00,63,615,43,62,2,6,6,7,4,5,oatmeal,yoga,partner,office,,
14,2025-09-02T00:00:00,106,1319,68,54,3,6,6,2,2,6,oatmeal,tennis,partner,cafe,,
