,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T10:00:00,135,995,46,63,3,3,1,4,5,5,yoghurt,swim,colleagues,cafe,,
1,2025-09-01T11:00:00,105,1039,65,66,3,3,4,6,6,6,fruit,yoga,partner,street,,
2,2025-09-01T12:00:00,110,831,51,35,5,2,4,6,5,3,oatmeal,tennis,friends,park,Yes,Yes
3,2025-09-01T13:00:00,144,1671,50,32,4,3,4,2,7,6,fruit,tennis,friends,park,Yes,Yes
4,2025-09-01T14:00:00,82,889,57,44,6,4,4,3,4,5,milk,swim,partner,park,Yes,Yes
5,2025-09-01T15:00:00,141,960,58,51,6,2,3,4,4,5,yoghurt,tennis,partner,home,,
6,2025-09-01T16:00:00,79,1248,61,54,2,6,7,7,2,1,fruit,walk,friends,cafe,,
7,2025-09-01T17:00:00,107,521,39,57,6,2,5,6,1,5,cracker,swim,colleagues,park,Yes,Yes
8,2025-09-01T18:00:00,122,1480,42,68,4,2,1,3,4,4,cracker,yoga,colleagues,park,Yes,Yes
9,2025-09-01T19:00:00,104,1070,43,60,4,5,5,2,1,6,fruit,tennis,colleagues,park,Yes,Yes
10,2025-09-01T20:00:00,70,1629,63,47,4,3,4,6,3,4,oatmeal,walk,colleagues,office,,
11,2025-09-01T21:00:00,63,445,35,42,5,3,2,4,2,7,fruit,bike,partner,store,,
12,2025-09-01T22:00:00,107,439,62,40,1,3,6,4,7,3,yoghurt,swim,partner,office,,
13,2025-09-01T23:00:00,106,1521,47,49,3,5,2,5,6,2,fruit,yoga,relatives,office,,
14,2025-09-02T00:00:00,74,1362,30,37,3,6,5,5,6,7,oatmeal,swim,friends,cafe,,
