,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T22:00:00,118,1528,60,32,4,1,6,4,1,5,cracker,bike,friends,home,Yes,
1,2025-09-01T23:00:00,62,1377,61,39,3,5,4,4,5,5,milk,swim,colleagues,park,Yes,
2,2025-09-02T00:00:00,85,876,45,69,5,5,6,3,2,7,milk,bike,partner,home,Yes,
3,2025-09-02T01:00:00,80,618,66,48,6,4,4,6,6,2,fruit,walk,friends,home,Yes,
4,2025-09-02T02:00:00,126,1740,57,55,3,3,1,4,6,3,fruit,yoga,colleagues,office,Yes,
5,2025-09-02T03:00:00,121,871,36,33,2,5,3,2,1,3,fruit,yoga,friends,cafe,,
6,2025-09-02T04:00:00,140,530,39,43,7,2,1,4,2,6,yoghurt,walk,friends,office,,
7,2025-09-02T05:00:00,68,723,42,62,4,4,7,5,5,2,yoghurt,swim,partner,cafe,Yes,Yes
8,2025-09-02T06:00:00,98,635,53,63,2,4,6,2,2,2,yoghurt,walk,relatives,home,Yes,Yes
9,2025-09-02T07:00:00,63,680,64,44,1,7,6,3,2,4,yoghurt,walk,relatives,office,Yes,Yes
10,2025-09-02T08:00:00,80,1530,34,66,2,6,3,7,7,4,fruit,yoga,colleagues,cafe,,
11,2025-09-02T09:00:00,105,1234,63,54,5,3,1,5,4,3,yoghurt,tennis,relatives,cafe,Yes,Yes
12,2025-09-02T10:00:00,62,1476,41,42,6,4,6,4,4,2,yoghurt,yoga,colleagues,office,Yes,Yes
13,2025-09-02T11:00:00,78,1574,55,59,4,2,7,4,6,7,yoghurt,yoga,relatives,park,Yes,Yes
14,2025-09-02T12:00:00,118,930,44,37,1,6,2,2,6,4,fruit,bike,partner,cafe,Yes,
15,2025-09-02T13:00:00,109,1173,37,52,3,6,4,2,2,6,milk,walk,colleagues,home,,
16,2025-09-02T14:00:00,80,1561,35,41,7,3,1,3,2,4,fruit,yoga,relatives,cafe,,
17,2025-09-02T15:00:00,113,1266,46,57,4,5,6,5,4,1,oatmeal,walk,partner,home,Yes,
18,2025-09-02T16:00:00,133,1606,33,50,7,5,6,2,4,7,fruit,bike,relatives,office,,
19,2025-09-02T17:00:00,61,1208,62,53,6,2,2,2,4,6,milk,walk,friends,cafe,Yes,
