,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,96,1238,70,54,3,2,3,3,6,6,fruit,swim,friends,office,Yes,Yes
1,2025-09-01T10:00:00,78,820,51,41,3,2,6,4,4,3,cracker,golf,relatives,home,Yes,Yes
2,2025-09-01T12:00:00,76,683,48,35,6,2,3,2,7,5,cracker,golf,friends,park,,
3,2025-09-01T14:00:00,82,1688,66,45,3,4,3,2,3,5,oatmeal,tennis,acquaintances,park,Yes,Yes
4,2025-09-01T16:00:00,128,1572,54,51,5,6,3,3,6,7,oatmeal,tennis,friends,office,Yes,Yes
5,2025-09-01T18:00:00,83,580,69,55,7,6,2,4,3,2,yoghurt,yoga,friends,cafe,Yes,Yes
6,2025-09-01T20:00:00,94,498,44,47,2,6,6,6,5,5,cracker,yoga,partner,park,Yes,Yes
7,2025-09-01T22:00:00,122,1381,39,56,6,2,7,2,5,2,oatmeal,golf,relatives,cafe,Yes,Yes
8,2025-09-02T00:00:00,108,938,67,58,5,6,5,5,3,5,milk,yoga,relatives,office,Yes,Yes
9,2025-09-02T02:00:00,144,1102,36,43,5,2,3,1,5,5,bread,golf,acquaintances,office,Yes,Yes
10,2025-09-02T04:00:00,104,1017,62,58,5,1,4,3,5,5,bread,yoga,strangers,park,Yes,Yes
11,2025-09-02T06:00:00,98,1499,54,45,3,3,3,2,7,6,yoghurt,swim,strangers,street,Yes,Yes
12,2025-09-02T08:00:00,115,1304,69,32,2,5,5,4,5,2,oatmeal,bike,acquaintances,street,,
13,2025-09-02T10:00:00,80,423,68,45,2,1,5,1,4,6,fruit,golf,acquaintances,park,Yes,Yes
14,2025-09-02T12:00:00,141,754,56,48,2,2,3,1,3,3,yoghurt,walk,relatives,park,Yes,Yes
