,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2,tm
0,2025-09-01T08:00:00,76,1722,52,45,5,2,2,6,7,3,cracker,swim,partner,park,,,,,01/09/2025 08:00
1,2025-09-01T10:00:00,120,728,54,45,4,3,5,6,3,4,milk,yoga,relatives,office,,,,,01/09/2025 10:00
2,2025-09-01T12:00:00,90,732,51,45,2,3,5,2,1,5,milk,tennis,friends,cafe,,,,,01/09/2025 12:00
3,2025-09-01T14:00:00,78,1429,63,38,6,3,4,2,6,7,oatmeal,yoga,friends,park,,Yes,,Yes,01/09/2025 14:00
4,2025-09-01T16:00:00,104,1206,54,66,5,5,4,6,5,1,fruit,yoga,relatives,office,,,,,01/09/2025 16:00
5,2025-09-01T18:00:00,104,683,42,54,6,2,4,7,6,7,oatmeal,tennis,colleagues,park,Yes,,Yes,,01/09/2025 18:00
6,2025-09-01T20:00:00,103,1349,35,66,6,3,4,5,2,6,oatmeal,tennis,colleagues,office,,,,,01/09/2025 20:00
7,2025-09-01T22:00:00,101,1623,49,30,5,6,2,3,3,1,cracker,swim,colleagues,cafe,,,,,01/09/2025 22:00
8,2025-09-02T00:00:00,84,1570,67,66,4,3,6,1,5,3,yoghurt,tennis,relatives,park,,,,,02/09/2025 00:00
9,2025-09-02T02:00:00,83,703,36,45,7,2,6,6,1,3,cracker,walk,friends,home,,,,,02/09/2025 02:00
10,2025-09-02T04:00:00,122,819,57,66,2,7,4,7,3,2,fruit,yoga,colleagues,cafe,,,,,02/09/2025 04:00
11,2025-09-02T06:00:00,89,409,55,30,5,4,3,6,5,2,milk,bike,colleagues,home,,,,,02/09/2025 06:00
12,2025-09-02T08:00:00,121,1766,36,45,6,1,5,5,7,2,yoghurt,bike,partner,park,,,,,02/09/2025 08:00
13,2025-09-02T10:00:00,131,709,38,30,4,4,4,7,5,5,cracker,walk,relatives,cafe,,,,,02/09/2025 10:00
14,2025-09-02T12:00:00,138,1418,57,45,6,2,3,4,3,4,yoghurt,walk,friends,cafe,,,,,02/09/2025 12:00
