,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,116,1204,69,69,5,3,4,6,2,4,γάλα,τέννις,συνάδελφοι,γραφείο,,,,
1,1,2025-09-01T10:00:00,127,418,65,52,6,4,3,4,6,7,βρώμη,κολύμπι,συνάδελφοι,γραφείο,,Yes,,Yes
2,2,2025-09-01T12:00:00,132,703,42,63,1,6,3,4,3,2,γάλα,γιόγκα,συγγενείς,γραφείο,,,,
3,3,2025-09-01T14:00:00,145,791,68,59,6,2,2,1,4,3,φρούτο,κολύμπι,σύντροφος,σπίτι,,,,
4,4,2025-09-01T16:00:00,127,1683,52,54,3,5,1,6,7,6,γάλα,κολύμπι,συγγενείς,πάρκο,,,,
5,5,2025-09-01T18:00:00,143,1472,57,43,4,6,2,1,6,5,γάλα,κολύμπι,φίλοι,γραφείο,,,,
6,6,2025-09-01T20:00:00,63,623,38,39,1,6,5,4,7,6,γάλα,κολύμπι,σύντροφος,γραφείο,,,,
7,7,2025-09-01T22:00:00,102,1516,68,47,1,1,7,6,4,7,γιαούρτι,τέννις,συνάδελφοι,σπίτι,,,,
8,8,2025-09-02T00:00:00,145,594,58,36,2,7,2,2,4,2,βρώμη,κολύμπι,σύντροφος,γραφείο,,,,
9,9,2025-09-02T02:00:00,118,1264,69,33,7,2,1,5,5,3,κράκερ,ποδήλατο,συγγενείς,σπίτι,,,,
10,10,2025-09-02T04:00:00,141,577,33,41,2,3,7,7,4,2,φρούτο,τέννις,συγγενείς,καφετέρια,Yes,,Yes,
11,11,2025-09-02T06:00:00,70,402,42,66,6,5,4,5,3,2,βρώμη,κολύμπι,φίλοι,γραφείο,,,,
12,12,2025-09-02T08:00:00,102,1620,44,31,7,7,3,6,3,3,γάλα,κολύμπι,συνάδελφοι,πάρκο,,,,
13,13,2025-09-02T10:00:00,82,693,37,49,7,3,2,2,2,7,γάλα,γιόγκα,συνάδελφοι,γραφείο,,,,
14,14,2025-09-02T12:00:00,109,702,36,45,3,7,5,4,3,4,γάλα,ποδήλατο,σύντροφος,σπίτι,,,,
