,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,101,459,68,58,2,5,2,6,1,3,βρώμη,κολύμπι,σύντροφος,πάρκο,,,,
1,1,2025-09-01T10:00:00,110,1775,70,62,3,2,3,2,7,7,βρώμη,κολύμπι,φίλοι,πάρκο,,,,
2,2,2025-09-01T12:00:00,143,1751,44,42,7,4,6,2,2,2,γιαούρτι,ποδήλατο,σύντροφος,πάρκο,,,,
3,3,2025-09-01T14:00:00,102,1315,59,36,6,2,3,6,5,1,βρώμη,περπάτημα,φίλοι,σπίτι,,,,
4,4,2025-09-01T16:00:00,106,1262,42,49,2,3,3,6,3,3,κράκερ,περπάτημα,σύντροφος,σπίτι,,,,
5,5,2025-09-01T18:00:00,113,620,58,32,2,7,1,2,6,4,κράκερ,τέννις,σύντροφος,καφετέρια,,,,
6,6,2025-09-01T20:00:00,77,421,33,69,2,6,2,2,5,1,φρούτο,γιόγκα,φίλοι,σπίτι,Yes,,Yes,
7,7,2025-09-01T22:00:00,106,1140,51,44,1,3,4,5,3,2,γάλα,κολύμπι,φίλοι,πάρκο,,,,
8,8,2025-09-02T00:00:00,117,483,38,65,6,6,2,7,2,3,γάλα,περπάτημα,φίλοι,σπίτι,,,,
9,9,2025-09-02T02:00:00,131,666,53,46,2,2,5,2,5,4,κράκερ,ποδήλατο,φίλοι,γραφείο,,,,
10,10,2025-09-02T04:00:00,68,739,40,56,4,3,3,7,1,2,κράκερ,κολύμπι,φίλοι,σπίτι,,,,
11,11,2025-09-02T06:00:00,87,442,48,38,4,6,4,6,2,3,βρώμη,κολύμπι,συγγενείς,πάρκο,,,,
12,12,2025-09-02T08:00:00,68,1050,56,30,2,5,7,5,4,6,κράκερ,περπάτημα,σύντροφος,πάρκο,,,,
13,13,2025-09-02T10:00:00,133,1017,63,54,5,2,4,4,6,7,φρούτο,τέννις,συγγενείς,καφετέρια,,Yes,,Yes
14,14,2025-09-02T12:00:00,122,1579,66,40,2,7,4,2,5,5,κράκερ,περπάτημα,σύντροφος,σπίτι,,,,
