,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,146,400,43,50,5,5,2,6,5,3,γιαούρτι,περπάτημα,σύντροφος,πάρκο,,,,
1,1,2025-09-01T10:00:00,145,1128,35,38,4,3,6,7,6,2,κράκερ,κολύμπι,σύντροφος,καφετέρια,,Yes,,Yes
2,2,2025-09-01T12:00:00,65,1700,50,46,2,2,2,4,1,4,γάλα,περπάτημα,συνάδελφοι,πάρκο,,,,
3,3,2025-09-01T14:00:00,68,1320,70,55,3,4,4,3,4,6,κράκερ,γιόγκα,φίλοι,γραφείο,,,,
4,4,2025-09-01T16:00:00,135,1600,57,36,5,7,6,5,3,2,γιαούρτι,ποδήλατο,φίλοι,γραφείο,,,,
5,5,2025-09-01T18:00:00,126,656,37,61,2,5,2,1,2,5,γιαούρτι,γιόγκα,συνάδελφοι,πάρκο,Yes,,Yes,
6,6,2025-09-01T20:00:00,120,1769,66,37,6,1,2,2,3,3,γιαούρτι,γιόγκα,φίλοι,πάρκο,,,,
7,7,2025-09-01T22:00:00,88,1532,62,52,3,6,6,6,3,4,κράκερ,κολύμπι,φίλοι,σπίτι,,,,
8,8,2025-09-02T00:00:00,115,1465,59,39,6,5,4,1,1,2,φρούτο,κολύμπι,φίλοι,σπίτι,,,,
9,9,2025-09-02T02:00:00,115,1600,66,49,3,6,5,1,3,7,γιαούρτι,τέννις,συνάδελφοι,πάρκο,,,,
10,10,2025-09-02T04:00:00,112,420,61,44,7,2,1,4,5,3,βρώμη,κολύμπι,συνάδελφοι,γραφείο,,,,
11,11,2025-09-02T06:00:00,74,1659,62,53,5,5,3,4,4,5,κράκερ,γιόγκα,φίλοι,σπίτι,,,,
12,12,2025-09-02T08:00:00,99,1366,44,67,4,1,2,4,2,4,γιαούρτι,περπάτημα,συνάδελφοι,πάρκο,,,,
13,13,2025-09-02T10:00:00,95,1800,69,45,4,5,5,3,1,1,γιαούρτι,ποδήλατο,φίλοι,καφετέρια,,,,
14,14,2025-09-02T12:00:00,125,1289,68,66,5,3,1,3,6,4,φρούτο,περπάτημα,σύντροφος,σπίτι,,,,
