,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,118,1163,62,39,7,3,2,5,6,4,milk,walk,partner,park,,
1,2025-09-01T10:00:00,62,709,59,34,5,6,5,2,4,1,fruit,walk,colleagues,cafe,Yes,Yes
2,2025-09-01T12:00:00,85,1225,51,41,4,4,6,4,6,6,oatmeal,walk,partner,home,,
3,2025-09-01T14:00:00,80,1533,69,55,5,3,4,4,4,6,oatmeal,bike,partner,office,,
4,2025-09-01T16:00:00,126,409,45,45,6,2,1,7,1,2,cracker,walk,colleagues,office,,
5,2025-09-01T18:00:00,121,1528,52,45,6,4,3,6,3,4,yoghurt,walk,friends,office,,
6,2025-09-01T20:00:00,140,1377,63,38,2,3,7,3,1,4,yoghurt,swim,friends,park,,
7,2025-09-01T22:00:00,68,876,55,41,1,5,4,4,7,3,cracker,walk,partner,office,,
8,2025-09-02T00:00:00,98,618,64,67,3,6,7,2,6,6,milk,yoga,relatives,park,,
9,2025-09-02T02:00:00,63,1740,53,56,3,3,6,6,6,4,cracker,bike,partner,office,,
10,2025-09-02T04:00:00,80,871,58,54,2,2,1,6,3,2,oatmeal,swim,partner,cafe,,
11,2025-09-02T06:00:00,105,530,32,37,7,7,5,3,1,4,oatmeal,tennis,partner,park,,
12,2025-09-02T08:00:00,62,535,39,59,6,4,5,5,6,5,yoghurt,bike,friends,office,,
13,2025-09-02T10:00:00,78,1586,42,37,3,2,4,5,7,2,oatmeal,yoga,friends,home,,
14,2025-09-02T12:00:00,118,1245,33,45,5,1,3,2,2,3,yoghurt,bike,friends,park,,
