,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,72,1723,42,54,4,7,2,6,5,5,yoghurt,yoga,partner,park,,
1,2025-09-01T10:00:00,136,1662,31,65,3,4,6,2,4,2,cracker,tennis,relatives,cafe,,
2,2025-09-01T12:00:00,129,443,64,64,4,4,1,3,3,5,milk,bike,partner,park,,
3,2025-09-01T14:00:00,83,436,52,50,1,3,4,4,4,5,cracker,yoga,friends,office,,
4,2025-09-01T16:00:00,105,1158,56,54,1,4,5,5,1,4,cracker,yoga,relatives,home,,
5,2025-09-01T18:00:00,100,1715,37,31,5,7,3,1,3,2,milk,walk,partner,home,,
6,2025-09-01T20:00:00,119,934,70,40,7,1,4,2,4,7,milk,tennis,relatives,home,,
7,2025-09-01T22:00:00,131,703,64,62,5,6,3,3,2,6,yoghurt,bike,friends,office,,
8,2025-09-02T00:00:00,68,991,35,47,3,6,1,5,2,4,fruit,swim,colleagues,office,,
9,2025-09-02T02:00:00,63,441,43,37,2,6,3,5,6,2,cracker,walk,colleagues,office,,
10,2025-09-02T04:00:00,135,710,59,52,4,5,2,5,4,5,milk,bike,relatives,office,,
11,2025-09-02T06:00:00,99,1013,58,58,7,6,4,6,2,3,yoghurt,yoga,colleagues,cafe,,
12,2025-09-02T08:00:00,129,1094,67,57,6,4,6,6,5,4,cracker,tennis,relatives,cafe,,
13,2025-09-02T10:00:00,60,726,47,45,4,4,3,4,6,3,oatmeal,yoga,partner,cafe,Yes,Yes
14,2025-09-02T12:00:00,100,723,63,48,6,4,6,1,1,5,cracker,bike,colleagues,cafe,,
15,2025-09-02T14:00:00,125,706,57,50,2,1,6,3,1,1,cracker,tennis,relatives,cafe,,
16,2025-09-02T16:00:00,81,1043,42,61,4,6,2,1,2,3,yoghurt,walk,friends,cafe,,
