,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,81,1615,48,67,2,1,4,1,3,3,bread,tennis,strangers,store,,
1,2025-09-01T10:00:00,109,1132,67,64,6,5,5,5,5,6,cracker,walk,acquaintances,home,,
2,2025-09-01T12:00:00,93,1438,65,70,3,1,7,4,3,4,oatmeal,tennis,relatives,home,,
3,2025-09-01T14:00:00,114,939,34,57,2,2,4,5,3,6,milk,bike,acquaintances,park,Yes,
4,2025-09-01T16:00:00,116,490,35,37,3,3,4,3,6,2,oatmeal,bike,relatives,street,,
5,2025-09-01T18:00:00,66,1462,39,64,6,5,5,5,1,3,yoghurt,walk,colleagues,home,,
6,2025-09-01T20:00:00,61,1228,69,69,6,2,2,5,4,5,fruit,tennis,friends,office,,
7,2025-09-01T22:00:00,135,822,39,66,1,1,3,1,5,6,milk,yoga,acquaintances,store,Yes,
8,2025-09-02T00:00:00,83,443,55,53,5,6,7,1,3,4,oatmeal,yoga,relatives,cafe,,
9,2025-09-02T02:00:00,81,1612,42,59,1,3,4,5,2,2,milk,tennis,friends,office,,
10,2025-09-02T04:00:00,150,833,50,38,5,7,4,7,6,2,fruit,yoga,colleagues,street,Yes,Yes
11,2025-09-02T06:00:00,102,1406,45,63,3,6,1,3,2,4,milk,golf,friends,home,,
12,2025-09-02T08:00:00,135,1630,44,53,6,3,3,4,2,2,bread,bike,friends,store,,
13,2025-09-02T10:00:00,103,1400,53,41,7,4,4,5,4,6,fruit,walk,strangers,store,,
14,2025-09-02T12:00:00,118,1690,53,33,4,4,1,3,5,6,milk,golf,acquaintances,park,,
15,2025-09-02T14:00:00,74,953,66,64,7,5,5,3,2,2,fruit,tennis,colleagues,home,Yes,
16,2025-09-02T16:00:00,117,1521,57,70,3,5,5,3,3,3,oatmeal,golf,partner,store,,
