,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,99,1142,44,47,3,5,5,4,2,1,milk,walk,partner,park,,
1,2025-09-01T10:00:00,121,1332,47,38,5,6,1,3,3,7,milk,swim,acquaintances,office,,
2,2025-09-01T12:00:00,69,838,37,62,3,7,6,7,1,4,bread,golf,partner,store,Yes,
3,2025-09-01T14:00:00,106,975,50,35,4,5,3,6,4,7,fruit,golf,strangers,home,Yes,Yes
4,2025-09-01T16:00:00,140,1620,67,65,6,7,4,1,2,3,bread,bike,partner,office,,
5,2025-09-01T18:00:00,127,738,63,43,2,1,7,2,6,6,milk,walk,partner,office,,
6,2025-09-01T20:00:00,136,1054,42,33,1,3,2,5,6,5,fruit,tennis,colleagues,street,,
7,2025-09-01T22:00:00,85,1557,54,56,2,7,7,6,4,6,oatmeal,yoga,friends,store,,
8,2025-09-02T00:00:00,112,1445,59,59,6,6,6,5,1,5,yoghurt,bike,colleagues,cafe,,
9,2025-09-02T02:00:00,90,558,34,52,5,3,4,6,3,4,bread,swim,colleagues,store,,
10,2025-09-02T04:00:00,80,913,39,50,2,7,5,5,2,2,bread,golf,friends,park,Yes,
11,2025-09-02T06:00:00,94,872,65,54,3,5,6,3,2,2,milk,walk,acquaintances,store,Yes,
12,2025-09-02T08:00:00,117,1262,52,70,2,6,3,1,2,6,milk,bike,relatives,park,,
13,2025-09-02T10:00:00,131,1682,57,40,4,3,1,7,6,6,fruit,golf,friends,home,,
14,2025-09-02T12:00:00,73,1203,61,67,1,2,3,3,2,7,fruit,golf,partner,home,,
